fips,fct_date,horizon,avl_date,method,value,fct_std,fct_lb,fct_ub
IE,2021-03-21,0,2021-03-14,spatial,3467.0714500724,608.2233670842668,2455.5424866060034,4895.2866853147825
IE,2021-03-28,1,2021-03-14,spatial,3488.329942071431,815.8226147552234,2231.0150355507053,5454.219532746628
IE,2021-04-04,2,2021-03-14,spatial,3470.360548646366,826.0387039769231,2191.163531262515,5496.350302371952
IE,2021-04-11,3,2021-03-14,spatial,3483.5869798835197,737.3303978892841,2316.905104012351,5237.753685033657
IS,2021-03-21,0,2021-03-14,spatial,26.039541315522154,3.2518052754549904,20.352856871982134,33.315112280684474
IS,2021-03-28,1,2021-03-14,spatial,26.29829771555261,3.2977374614348967,20.545863077957282,33.661300092952835
IS,2021-04-04,2,2021-03-14,spatial,24.91876235132722,3.941475473102838,18.203934620987834,34.11046732754237
IS,2021-04-11,3,2021-03-14,spatial,24.50701538174717,2.4784217098229124,20.075197019179527,29.91720591072627
IT,2021-03-21,0,2021-03-14,spatial,155867.19764838537,21540.962547824136,118720.97453188848,204635.98280382465
IT,2021-03-28,1,2021-03-14,spatial,156887.32493313632,37818.36547992215,98773.399316455,249192.92942239574
IT,2021-04-04,2,2021-03-14,spatial,155331.38706724354,26546.55055927581,111278.98734049533,216822.963480128
IT,2021-04-11,3,2021-03-14,spatial,154104.00280589814,34069.48975347057,100132.53743136466,237166.10294708892
LI,2021-03-21,0,2021-03-14,spatial,24.83647078969625,5.616415328850093,16.100528550163556,38.31242430119904
LI,2021-03-28,1,2021-03-14,spatial,20.650029718412682,2.085280923982863,16.87121045371619,25.275230164495955
LI,2021-04-04,2,2021-03-14,spatial,20.484427819684697,2.0852203451207973,16.728251002208992,25.084020023639173
LI,2021-04-11,3,2021-03-14,spatial,26.37167329318799,2.3701260285372,22.046082892253235,31.54597375332485
LT,2021-03-21,0,2021-03-14,spatial,3632.3003682232593,145.96523261579563,3352.880919297325,3935.0058300787655
LT,2021-03-28,1,2021-03-14,spatial,3642.827235608498,143.35546738317348,3367.3927959745192,3940.790716293814
LT,2021-04-04,2,2021-03-14,spatial,3709.8159936166335,894.2080098444956,2343.756634645477,5872.083518848595
LT,2021-04-11,3,2021-03-14,spatial,3688.721851906646,746.6840994358275,2485.648482314013,5474.092172545039
LU,2021-03-21,0,2021-03-14,spatial,1364.186898819853,108.29541337347692,1165.3209398195336,1596.9900062037257
LU,2021-03-28,1,2021-03-14,spatial,1469.2480720808433,324.1470711712801,956.9254697936682,2255.860007340729
LU,2021-04-04,2,2021-03-14,spatial,1457.9280514215925,345.2104709219568,918.667385529982,2313.7364367144946
LU,2021-04-11,3,2021-03-14,spatial,1448.054461414186,294.94191431857985,968.1218427177288,2165.9068421957927
LV,2021-03-21,0,2021-03-14,spatial,3501.4269310557897,339.33696326606,2891.361287754969,4240.213979983862
LV,2021-03-28,1,2021-03-14,spatial,3596.0419049984434,415.36299271607794,2860.428598831065,4520.832083621802
LV,2021-04-04,2,2021-03-14,spatial,3712.3131560106776,404.39248558660756,2994.441577855163,4602.283467544257
LV,2021-04-11,3,2021-03-14,spatial,3678.280389546068,395.5276524350611,2969.1692706784715,4556.744796509211
MT,2021-03-21,0,2021-03-14,spatial,1715.246878781761,241.0679384298513,1302.8342518092286,2258.208863548804
MT,2021-03-28,1,2021-03-14,spatial,1638.1211239234262,366.6978852750706,1055.970637547933,2541.207796151757
MT,2021-04-04,2,2021-03-14,spatial,1643.4671142223465,322.679497889229,1118.1989254597263,2415.4773305830786
MT,2021-04-11,3,2021-03-14,spatial,1632.2116702626333,385.71307447021167,1034.0646615775843,2576.3523651191426
NL,2021-03-21,0,2021-03-14,spatial,42368.24039266373,3981.048854405037,35178.78801049263,51026.993693902536
NL,2021-03-28,1,2021-03-14,spatial,42296.16627760373,3947.921802722303,35152.730128740426,50891.230218277335
NL,2021-04-04,2,2021-03-14,spatial,42203.93817920559,4118.15178254859,34757.38335075397,51245.87141268703
NL,2021-04-11,3,2021-03-14,spatial,41547.97337147347,3635.2871601473876,34922.169921631765,49430.89433304059
NO,2021-03-21,0,2021-03-14,spatial,6602.689581947118,1708.0138094534313,4008.957725762951,10874.52467642479
NO,2021-03-28,1,2021-03-14,spatial,6515.415535660077,1202.4899110186166,4552.517220172041,9324.652175772871
NO,2021-04-04,2,2021-03-14,spatial,6586.516071217583,1466.6008885519147,4267.386831207132,10165.985806385364
NO,2021-04-11,3,2021-03-14,spatial,6899.208719631263,1043.8826636510498,5120.534642786945,9295.724817346296
PL,2021-03-21,0,2021-03-14,spatial,149601.62215430287,32308.55854158415,98239.37914589568,227817.45513640935
PL,2021-03-28,1,2021-03-14,spatial,147581.16901097336,33417.30894266538,95248.41819292566,228667.3297033625
PL,2021-04-04,2,2021-03-14,spatial,146565.7641512785,21603.275025176597,109760.96186970065,195711.87109993925
PL,2021-04-11,3,2021-03-14,spatial,146811.17200563743,22065.57077541632,108997.71042643204,197742.87130752526
PT,2021-03-21,0,2021-03-14,spatial,3352.0829235963056,524.0884802618476,2459.9755152322314,4567.712100014623
PT,2021-03-28,1,2021-03-14,spatial,3373.431833680814,796.4399734902815,2145.9288593028728,5303.084623312272
PT,2021-04-04,2,2021-03-14,spatial,3349.9122316526245,659.075292132934,2288.312259452877,4904.0125155204905
PT,2021-04-11,3,2021-03-14,spatial,3344.2293042370675,395.1302870974338,2644.7946019925744,4228.634477283061
RO,2021-03-21,0,2021-03-14,spatial,37143.36841997881,9446.047257807442,22863.510676429683,60341.993716851175
RO,2021-03-28,1,2021-03-14,spatial,37042.751360244765,9249.380648021657,22934.456010699512,59829.86593171273
RO,2021-04-04,2,2021-03-14,spatial,37258.197284984286,8884.552922365063,23528.895317596747,58998.65872107586
RO,2021-04-11,3,2021-03-14,spatial,37840.21497070568,8412.380941046753,24620.948740469194,58157.0549584732
SE,2021-03-21,0,2021-03-14,spatial,31471.869541209635,6844.04550765456,20727.90067116852,47784.7992487066
SE,2021-03-28,1,2021-03-14,spatial,31538.285275368227,7415.4030134894165,20235.910973410282,49153.380809862385
SE,2021-04-04,2,2021-03-14,spatial,30924.10792176342,2740.3658460335273,25907.750219367706,36911.751991571065
SE,2021-04-11,3,2021-03-14,spatial,30869.101316805914,2821.1221393978963,25744.629857731095,37013.59939424698
SI,2021-03-21,0,2021-03-14,spatial,5647.755383524707,926.3001356469003,4091.509649756012,7795.93441116152
SI,2021-03-28,1,2021-03-14,spatial,5609.013457545689,650.7222684227653,4456.35595263558,7059.811267616974
SI,2021-04-04,2,2021-03-14,spatial,5645.357587793332,616.2779865444455,4546.459271281587,7009.864246528702
SI,2021-04-11,3,2021-03-14,spatial,5575.289817903405,631.6314969282697,4453.744705023437,6979.263207106928
SK,2021-03-21,0,2021-03-14,spatial,12344.826751534294,924.3963421697896,10641.511726948442,14320.779926358964
SK,2021-03-28,1,2021-03-14,spatial,12262.79041255923,933.5286541871567,10534.517191625124,14274.600911174426
SK,2021-04-04,2,2021-03-14,spatial,12249.123310665953,884.169829488864,10612.334233145431,14138.36188943973
SK,2021-04-11,3,2021-03-14,spatial,11786.603813868818,1831.1311637582087,8699.697712492403,15968.834097030503
