Province_State,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3.6888794541139363,5.2574953720277815,6.669498089857879,5.924255797414532,5.556828061699537,5.44673737166631,5.159055299214529,4.969813299576001,5.365976015021851,5.170483995038151,5.337538079701318,5.817111159963204,5.365976015021851,6.478509642208569,7.183870715062453,7.6246189861593985,8.0507033814703,8.241966560231802,8.167068178341237,8.096817470572319,8.127699852817772,7.999007213243955,7.688913336864796,7.605392364814935,7.498869733976931,7.4342573821331355,7.640123172695364,8.022568946988255,8.133293861222633,8.293799608846818,8.493105395887147,8.718009330846357,8.685077700412423,8.949494953477961,9.105535257610056,9.160834952072344,9.085457189829492,9.214830277249035,9.298992069570746,9.040382074165628,8.812545770172237,8.765926513729443,8.85879510585745,8.706324840138741,8.30622521603216,8.119100837637486,7.8343923029104365,7.729295674310482,7.418780882750794,7.595889917718538,7.490529402060711,7.742835955430749,7.688913336864796,7.60489448081162,7.469083884921234,7.586803535162581,7.38770923908104
17,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,4.060443010546419,6.535241271013659,7.914983005848394,8.834336974017637,9.085117227222105,9.20833836930551,9.442800389927742,9.72483924110847,9.774517171239168,9.703327837612294,9.638153883748108,9.316590491818841,8.983816112502495,8.513385953073284,8.350666240520924,8.511778558714738,8.618846845142738,8.920255414908091,8.947806093057054,9.141740280483926,9.271623600393081,9.412791300065303,9.3803362790795,9.536040511615484,9.50039462857302,9.743084031043104,9.384041546476526,9.475930197953147,9.527484154577582,9.547455259196115,9.721305985943088,10.08309710182661,10.358218901947211,10.636960604567639,11.02566987271667,11.350488885022813,11.330215832884798,11.107210325606856,11.113029818576933,11.030249884620584,10.87197217314098,10.590993853205987,10.626436224332863,10.793167332983991,10.612212763059391,10.429989655687127,10.14037620564201,9.923682259821648,9.695355758842355,9.410256237171089,9.443909388773974,9.377548290960089,9.265775078864284,9.438988743924838,9.626349693960018,9.831239388328504,10.027164297229726,10.032364379457015
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70805020110221,4.718498871295094,7.007600613951853,7.908387159290043,8.155362120328135,8.072779333169498,8.231642179973411,8.496173824192162,8.39773375137891,8.17413934342947,8.19450550976564,8.104703468371108,7.932362154339751,7.842278779117352,7.831220214604293,7.829630389150193,7.957527402230773,8.20166019080868,8.428361977709622,8.676928249537397,8.630878955820053,8.726643415598444,8.762333040602343,8.637816633739977,8.87024156729927,8.783702698635217,8.630521876723241,8.731981938347694,8.663887570567042,8.92399074475818,9.143345503151904,9.438750032962892,9.580316462154043,9.847128818866743,10.17975472217261,10.575538769801339,10.698649658502804,10.592250134778249,10.73663577731889,10.703626417674236,10.554118595992994,10.438517864998936,10.3439658164813,10.476442547767668,10.257273326840833,9.974411890872826,9.70747266861017,9.474856166396124,9.17678358844734,8.854093907655518,8.745443680098592,8.625868208041894,8.583542571957771,8.570923513837204,8.689632748355741,8.837681215593197,8.931684110731714,9.167224080902555
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833213344056216,3.9512437185814275,5.43372200355424,6.192362489474872,6.583409222158765,6.910750787961936,7.8551570058813445,8.174984532943087,8.01565761455734,7.884952945759814,7.851661177889265,7.76046702921342,7.711548979629146,7.713784616598755,7.483806687665835,7.854381210652365,8.002359546252707,8.187855443695623,8.203851372183879,8.181160858023409,8.133587417660966,8.08394570229562,8.169053149927343,8.27664912542186,8.938006576471201,8.712430973476739,8.415160465851086,8.630343289348893,8.716699572964293,8.762958920766726,8.815963560853438,8.94324493313279,9.004299728561636,9.523251498473739,9.987093136390925,10.413342705547674,10.152220874849334,9.796792813865165,9.693136823020671,9.36082720525012,9.388486557359657,8.966228514225776,9.116249448576587,9.415401415739627,9.056839480990421,8.971321471503682,8.77770959579525,8.55564437779049,8.462314529906248,8.052933036797567,8.318742252692399,8.085486772102845,8.063377822367027,7.98514393119862,8.271804031154709,8.203304026795282,8.193123721512068,7.9868449011613825
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,3.8918202981106265,5.342334251964811,6.068425588244111,6.3578422665081,6.302618975744905,7.1808311990445555,7.4673710669175595,7.572502985020384,7.01211529430638,6.914730892718563,6.612041034833092,6.508769136971682,6.490723534502507,6.981934677156389,7.326465613840322,7.738052297689316,7.9287663216266955,8.00836557031292,8.106212902619962,7.856319571406588,7.956827122090111,8.143226750367445,8.156510226079966,8.342601680684194,8.307459327011946,8.005367067316664,8.244596756382498,8.637107288081575,8.412721169819527,8.46168048148598,8.558910784768106,8.662504922576291,9.053803514155955,9.455167134121535,9.785266921148697,9.880577100953023,9.823361508056843,9.662498208076329,9.747710550964285,9.628853318933604,9.140347000155648,9.76249985923515,9.579418082631959,9.530320210727126,9.264260213965613,8.99317889233952,8.84937050375457,8.422662707570003,8.463792414689122,7.930925372483388,7.692113339595466,7.499423290592229,7.329093736246592,7.292337176173877,7.273092595999522,7.203405521083095,7.3987862754199485
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70805020110221,4.2626798770413155,5.680172609017068,6.285998094508865,6.654152520183219,6.921658184151129,7.0967213784947605,6.874198495453294,7.351158226430694,7.129297548929373,6.78332520060396,7.0326242610280065,7.367077059881012,7.05444965813294,7.077498053569231,7.337587743538596,7.097548850614793,7.917536353943631,8.027150106832774,8.429454277108231,8.28374674710613,8.25712628599743,8.378390788535778,8.327484416188264,8.414274137408396,8.494333897270154,8.281723990411392,8.453401058328458,8.503094267036737,8.693664334532016,8.915163617762142,8.902727664035522,9.069122370060645,9.370671910878523,9.428833125074965,9.709660055555972,9.89197149657488,9.813234563558566,10.08088031609333,10.02548392184538,9.898675995538905,9.61573881119536,9.820540631715202,10.182141493777905,10.082762807393678,9.915564333761576,9.714020527581303,9.624963417869113,9.290721483922995,9.096947684621092,8.978282203272398,8.738254576526122,8.628018746505122,8.464214266625351,8.331827004436057,8.39840965542627,8.192570471152173,8.370315995555478
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.343805421853684,6.530877627725885,7.844632644464681,9.1248914101437,8.925055424124123,8.179199798423086,7.983440063006542,7.873978379604501,7.7306140660637395,7.90100705199242,7.940227765145702,7.883069351305753,7.975564658495202,8.241966560231802,8.039802343736485,8.591186871324563,9.050171619823361,9.51148146411212,9.37475250822657,9.625359692889159,9.437157168656688,9.430760217368796,8.986071187374463,8.513787398281405,8.561018670956267,8.596928159435091,8.465899897028686,8.345930261979017,8.250620082174692,8.20903626577507,8.429454277108231,8.371010681238156,8.492285555710053,8.305484017727691,8.53030683056162,9.236592743120248,9.597505722912913,9.539140395148861,9.715650815054063,9.74179181353583,9.811536723788219,9.551444720923957,9.84033473753086,10.171833888681167,10.061431030602083,9.642252650099195,9.742203154807973,9.440260907569415,9.07383312732152,8.216628493133443,8.74909824839902,8.401333305321703,8.142354276849835,8.08794755464267,8.111328003286733,7.783224016336037,8.122371243406553,8.044626279767337
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,4.204692619390966,4.948759890378168,5.501258210544727,5.075173815233827,5.442417710521793,4.770684624465665,5.236441962829949,5.541263545158426,5.480638923341991,5.8998973535824915,5.594711379601839,5.488937726156687,5.4510384535657,5.198497031265826,5.375278407684165,5.493061443340548,4.812184355372417,4.8283137373023015,4.976733742420574,4.990432586778736,4.51085950651685,4.7535901911063645,5.159055299214529,5.159055299214529,4.948759890378168,5.303304908059076,5.298317366548036,5.4116460518550396,5.420534999272286,5.351858133476067,5.37989735354046,5.4116460518550396,6.26530121273771,6.843749949006225,7.0825485693553,7.194436851100335,7.060476365999801,7.516977224604321,7.821242083523558,8.044947049617722,7.940583827104244,8.21554741194707,8.235890725928495,8.34283980427146,8.12533508671429,7.851661177889265,7.5480289699350145,7.215239978730097,6.848005274576363,7.026426808699636,7.044032897274685,7.1098794630722715,7.265429723253953,7.215239978730097,7.504942068396171,7.729735331385051,8.069029328774958
24,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,3.1780538303479458,5.111987788356544,6.687108607866515,7.6638772587034705,8.427049641563272,8.440744019252831,8.601534339849989,8.810907036099737,8.862341963516347,8.769351707798972,8.926251835034533,8.782629654920699,8.606485298894999,8.248790733696413,7.8826922062890254,7.821643126239982,7.969357742016346,8.047509510981422,8.463581421967588,8.673855001429615,8.75004942158424,8.559486103606488,8.53934599605737,8.250620082174692,8.235095497258357,8.369388996647842,8.275376374836407,8.345455428161928,8.07961802938984,8.255048902752295,8.288031567776464,8.37378460812088,8.38022733634308,8.664578178329295,8.940367233305174,9.32143441948177,9.672878705110646,9.580316462154043,9.79456514531194,9.884559542650608,9.725854985228304,9.72232532346202,9.783069799056989,9.913091288678823,9.936293504261306,9.634038248345407,9.504426892100957,9.143986871426161,8.993675786759683,8.630700432209832,8.618846845142738,8.58260632996447,8.694669696546992,8.769507120030227,8.948066103458935,9.099520536870939,9.168163293076997,9.17076759685636
25,0.0,0.0,0.0,0.0,0.0,0.0,4.248495242049359,5.407171771460119,7.444833273892193,8.495560891289124,9.02304647355567,9.404837504700271,9.636849167012697,9.607773308387083,9.429234909000977,9.200087995511831,8.929435283803425,8.70930004894499,8.188133414510478,7.816416983691801,7.463363045520021,7.1929342212158,7.160845906664299,7.0431599159883405,7.310550158534422,7.368339686311381,7.459338895220296,7.646831391430482,7.631431664576906,7.60489448081162,7.634820677745543,7.7336835707759,7.487173694213739,7.759614150696903,7.878912912297133,7.9617188159813645,8.355379895253634,8.30325712085294,8.431635303054591,8.788440957404594,9.114710140960932,9.305650551780507,9.715107681158209,9.798848998423558,9.815421073667677,10.293771338648629,10.425490476892245,10.420643099996989,10.319958539820826,10.451001840369164,10.66788505462424,10.560774367644997,10.321111771468102,10.137254475487468,9.876476003289278,9.620328568811932,9.381685238056505,9.385637313833174,9.235130540783402,9.276596167753247,9.412546252075513,9.595534743241988,9.659886159319521,9.571226436686379,9.523105224795426
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58351893845611,6.3784261836515865,8.35819745992578,9.194718991073225,9.186559843310778,8.926783114101351,8.818482267274236,8.800113946766308,8.355144739461839,8.442254104751743,8.461891875631148,8.064321960910803,7.896924656268864,6.826545223556594,7.443663683115591,7.665753431861699,7.973155433444133,8.239857411018601,8.510772623613315,8.36264243156764,8.649974302650056,8.488587934405903,8.628913441026645,8.357493812658563,8.535425959677298,8.708639655987193,8.67709870892586,8.522976436171964,8.746080217357513,8.838986793496787,9.009691898489343,9.363233118079325,9.582386570538903,9.989389981536831,10.363030408174957,10.751906213163448,10.88235863959169,10.802245479117977,10.787750837571522,10.560567043934196,10.338414370793911,9.916897239446046,9.989435864672492,10.103649027458413,9.864330837334935,9.613202094214232,9.502412792729256,9.263596738276615,9.020510699691906,8.89740886527095,9.135724578595394,9.261223582290752,9.547954813176172,9.95142020629143,10.392987389587367,10.718675359005099,10.84957006921802,10.883616560433461
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.995732273553991,4.727387818712341,5.726847747587197,6.049733455231958,6.331501849893691,6.661854740545311,7.1204443723924875,7.932362154339751,8.42463920980563,8.337827262447915,8.492080490601163,8.376781037699493,8.105005537547246,7.890208213109961,7.738488122494646,7.850103545175582,7.85979918056211,8.280711075662847,8.268475388982598,8.480736654405622,8.496378051702317,8.499640032168648,8.369157112588834,8.401557847817314,8.592300663903043,8.634620608292202,8.218247926685745,8.543445562560303,8.844768827529695,8.871785969150645,8.99230873254815,9.23620303150191,9.308555419473137,9.701983176325399,10.184220535899701,10.623130596900038,10.756284550625612,10.623057555327177,10.627600312352953,10.312845075359636,9.86459078690618,9.385133662349347,9.331406899955626,9.716012740501373,9.271811694064283,9.078065332666364,8.855235623206967,8.763740720509464,8.625868208041894,8.58783803098557,8.636397438894713,8.580355766373877,8.892748769118258,8.971829343530851,9.165343006045447,9.428189934829282,9.547526639331053,9.565143565282119
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,4.897839799950911,6.259581464064923,6.674561391814426,7.079184394609668,7.194436851100335,7.463936604468925,7.45182223652793,7.5688956634069955,7.4645098346365275,7.540090320145325,7.707062655370473,7.501082124259871,7.744569809354496,7.164720378771857,8.494947582468917,8.545391845774915,8.464846711044029,8.768263145371286,9.119868468812108,9.093806555720231,8.819517540604888,8.538758969330798,8.614864218589684,8.46821300919452,8.400434630806041,8.052614818815567,8.151044945685024,8.185907481482324,8.157657015196472,8.405367376233981,8.588210678651517,8.53346016388011,8.531490496117062,8.65259782842244,8.916640227198839,9.11173476822206,8.927844826211702,9.511777409660299,9.581145019820722,9.558458813231795,9.46591239050973,9.632597042724184,9.716615658643356,9.546884034617925,9.4054136126953,9.320718279445792,8.79300509129753,8.624252263709645,8.268475388982598,8.255568653283746,8.080237416216702,8.08825472712243,7.649692623711514,7.463363045520021,7.359467638255621,7.201170883281678,7.436617265234227
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,4.709530201312334,6.755768921984255,7.409741954080923,7.510430556378006,7.191429330036379,7.2456550675945355,7.2682230211595655,7.241366283322318,6.97914527506881,6.9874902470009905,7.112327444710911,7.40184157874383,7.072421900537371,7.55171221535131,7.9420068084898565,8.074649075066652,8.363342466597977,8.562931083090092,9.031931152002144,9.265207273417023,8.758726607842037,9.11866358340428,9.004053937728395,9.045701550034536,9.23600811872476,9.165865881874353,9.310728546007452,9.33459133431404,9.172638504792172,9.523178364309082,9.397068870588344,9.507923269105227,9.765374250406493,10.109444252427517,10.510123231148095,10.356186058125473,10.251394166783005,10.31503413096016,10.317780249246972,10.19286818162349,9.955985121493882,10.16446624215336,10.282950858105291,10.010052342764158,9.717639785965615,9.620859354387026,9.37940781309172,8.933268478636418,8.653121708640482,8.68676717538769,8.34687925374656,8.207129168071326,8.37539918579835,8.47782846789396,8.30325712085294,8.40178233990491,8.270781013162674
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,3.091042453358316,4.624972813284271,4.912654885736052,4.718498871295094,3.8918202981106265,2.9444389791664403,2.302585092994046,1.0986122886681098,2.302585092994046,2.3978952727983707,3.258096538021482,3.58351893845611,3.8501476017100584,4.700480365792417,5.0369526024136295,5.752572638825633,6.234410725718371,6.677083461247136,6.669498089857879,6.71174039505618,6.694562058521095,6.646390514847729,6.57507584059962,6.774223886357614,6.816735880594968,6.634633357861686,7.121252453244542,7.463936604468925,7.803435056952168,8.232440158470336,8.32069157104845,8.50045386741194,8.641002477142523,8.72371943690701,8.844768827529695,9.066008001086264,8.74878098951311,8.736168065858228,8.62604759632832,8.287780027088433,7.942362237674335,7.828436359157585,8.332789468417959,7.9909154630913255,7.763871287820222,7.763021309018518,7.578145472419466,7.365180126021013,7.203405521083095,7.086737934510577,6.70808408385307,6.975413927455952,7.122866658599083,7.030857476116121,6.843749949006225,7.009408932708637,6.853299093186078
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833213344056216,2.995732273553991,4.060443010546419,5.41610040220442,5.934894195619588,6.309918278226516,7.293017679772782,7.862497197230545,7.9287663216266955,7.6624678152002375,7.463363045520021,7.571473648851271,7.418780882750794,6.97354301952014,6.9726062513017535,6.97354301952014,6.9584483932976555,7.065613363597717,7.301822342137932,7.5569505720129,7.59890045687141,7.5251007461258,7.59890045687141,7.338888133838879,7.587310506022615,7.62657020629066,7.747164966520335,7.892452043520352,7.937017489515454,8.244596756382498,8.40827078419205,8.602453035367061,8.679822114864455,8.924922401177469,9.36417671669105,9.577688157971219,9.692457831605429,9.416866617466955,9.49137540170617,9.118225083068378,8.952475967933584,8.686429508661536,8.842893331055539,8.90354343566472,8.573573524852344,8.690137586397595,8.22040309993373,7.955425088912672,8.190354403763262,7.452402451223638,7.585281078639126,7.566828479208331,7.501634457883413,7.485491608030754,7.534762657037537,8.146709052203319,7.799753318287247,7.734996194022781
