fips,fct_date,horizon,avl_date,method,value,fct_std,fct_lb,fct_ub
1067,2020-08-23,2,2020-08-02,spatial,24.126353621189608,2.08430872667033,20.31419200796097,28.653905546751552
1067,2020-08-30,3,2020-08-02,spatial,23.930140597449146,2.52963220994266,19.39052384191548,29.532550728506514
1069,2020-08-09,0,2020-08-02,spatial,108.89661677302679,13.246671338097114,85.61566762572309,138.5082131982184
1069,2020-08-16,1,2020-08-02,spatial,108.57057877736868,10.76496279888027,89.12735337289516,132.2553641499421
1069,2020-08-23,2,2020-08-02,spatial,108.80665391403782,10.557609209838613,89.76537295473663,131.88702443133448
1069,2020-08-30,3,2020-08-02,spatial,109.14483276190263,8.653714082778997,93.1860926929043,127.83661353719131
1071,2020-08-09,0,2020-08-02,spatial,191.6935558906806,17.955380207053864,159.1834795055453,230.84317219447013
1071,2020-08-16,1,2020-08-02,spatial,169.3653567388145,11.021573989535739,148.7301171974211,192.863588113701
1071,2020-08-23,2,2020-08-02,spatial,197.75519172007856,13.272978184750242,173.05819161405083,225.9766815283759
1071,2020-08-30,3,2020-08-02,spatial,192.47629941378304,14.432718824108449,165.83823411389378,223.39315197110196
1073,2020-08-09,0,2020-08-02,spatial,1427.9928896451254,176.4652612687582,1120.103401078184,1820.513794453429
1073,2020-08-16,1,2020-08-02,spatial,1329.7941467906185,66.00384222465529,1204.1092827512691,1468.5979903734988
1073,2020-08-23,2,2020-08-02,spatial,1432.4063824064858,142.90835750885194,1174.2244835059382,1747.355870346626
1073,2020-08-30,3,2020-08-02,spatial,1423.1625090345574,146.41605709196804,1160.6668959644196,1745.0239462878808
1075,2020-08-09,0,2020-08-02,spatial,28.832058908386866,3.0994465392837798,23.315998201754827,35.65310023201688
1075,2020-08-16,1,2020-08-02,spatial,28.928516180251368,3.254304679287088,23.131485021911693,36.1783537718541
1075,2020-08-23,2,2020-08-02,spatial,28.981211636828803,3.0585898711057213,23.49313189238596,35.75132646366632
1075,2020-08-30,3,2020-08-02,spatial,28.87184313194291,2.8758581275315764,23.69130739731472,35.18519733233468
1077,2020-08-09,0,2020-08-02,spatial,127.98098412995449,16.23608498160524,99.64463936083692,164.37544863360822
1077,2020-08-16,1,2020-08-02,spatial,129.39421826817843,15.400027912704234,102.19724692612087,163.82891149050766
1077,2020-08-23,2,2020-08-02,spatial,129.14115924055142,13.689318042828347,104.75768619612494,159.20014669635162
1077,2020-08-30,3,2020-08-02,spatial,128.62659610370707,12.926467452869472,105.21158270413963,157.25265983072444
1079,2020-08-09,0,2020-08-02,spatial,42.80042359915899,4.1976291483597485,35.21431682208557,52.020780909159576
1079,2020-08-16,1,2020-08-02,spatial,42.908402814971936,4.454656178702764,34.86090335461028,52.81363518907223
1079,2020-08-23,2,2020-08-02,spatial,42.80671757984835,5.834592322360615,32.68958518337387,56.0550113952769
1079,2020-08-30,3,2020-08-02,spatial,43.09475212841815,5.727703219354111,33.14567137663915,56.03017178040068
1081,2020-08-09,0,2020-08-02,spatial,223.39624040816742,7.890394075815261,208.18880181003843,239.7145273646384
1081,2020-08-16,1,2020-08-02,spatial,205.01465533069344,17.278882503118073,173.26577189293738,242.5811424909381
1081,2020-08-23,2,2020-08-02,spatial,205.79013939871297,23.316468936823306,164.37067253315197,257.6468223989302
1081,2020-08-30,3,2020-08-02,spatial,204.5403293013614,19.714131120825254,169.0951964628166,247.41534464528152
1083,2020-08-09,0,2020-08-02,spatial,148.2606125653491,15.96423015854584,119.84549346998536,183.412897738684
1083,2020-08-16,1,2020-08-02,spatial,147.6544523345934,12.971511173415179,123.99993155992857,175.8213655439962
1083,2020-08-23,2,2020-08-02,spatial,148.36902531276039,13.424734165456146,123.97363001747988,177.56491980717766
1083,2020-08-30,3,2020-08-02,spatial,167.15917287654145,10.941995452213481,146.69183528615855,190.48223796683263
1085,2020-08-09,0,2020-08-02,spatial,27.057972036000162,2.5512783152071035,22.420739492876617,32.65431325017518
1085,2020-08-16,1,2020-08-02,spatial,27.04581950026041,2.8363975218572635,21.998631445438207,33.250993556344646
1085,2020-08-23,2,2020-08-02,spatial,26.935426881130525,2.8207044646184816,21.856281155459804,33.19490704334626
1085,2020-08-30,3,2020-08-02,spatial,23.157165228598533,0.2338365349756697,22.69412913624879,23.629648804988356
1087,2020-08-09,0,2020-08-02,spatial,28.04538954268694,3.0634233449054165,22.56976288401463,34.84945228016265
1087,2020-08-16,1,2020-08-02,spatial,28.00841704990344,2.865419728023449,22.875080934384442,34.293711479820445
