method,fips,fct_date,horizon,avl_date,value,fct_std,fct_lb,fct_ub,fct_mean
PatchSim_adpt,01077,2020-12-27,2,2020-12-13,,49.48979591836735,300.725,490.0,393.0
PatchSim_adpt,01077,2021-01-03,3,2020-12-13,,64.28571428571429,254.725,498.0,372.0
PatchSim_adpt,01077,2021-01-10,4,2020-12-13,,79.59183673469389,213.725,504.0,348.0
PatchSim_adpt,01079,2020-12-20,1,2020-12-13,,13.26530612244898,154.0,203.0,177.0
PatchSim_adpt,01079,2020-12-27,2,2020-12-13,,25.510204081632654,154.0,248.0,198.0
PatchSim_adpt,01079,2021-01-03,3,2020-12-13,,39.285714285714285,152.725,294.0,217.0
PatchSim_adpt,01079,2021-01-10,4,2020-12-13,,54.73214285714279,147.0,339.27499999999986,232.0
PatchSim_adpt,01081,2020-12-20,1,2020-12-13,,54.08163265306123,675.0,883.0,777.0
PatchSim_adpt,01081,2020-12-27,2,2020-12-13,,134.32397959183666,739.725,1227.2749999999999,964.0
PatchSim_adpt,01081,2021-01-03,3,2020-12-13,,237.75510204081633,812.725,1632.0,1166.0
PatchSim_adpt,01081,2021-01-10,4,2020-12-13,,364.96173469387725,873.725,2098.8249999999994,1383.5
PatchSim_adpt,01083,2020-12-20,1,2020-12-13,,48.46938775510204,641.45,828.0,733.0
PatchSim_adpt,01083,2020-12-27,2,2020-12-13,,106.12244897959184,634.725,1029.0,821.0
PatchSim_adpt,01083,2021-01-03,3,2020-12-13,,165.47193877551,629.0,1227.8249999999996,903.5
PatchSim_adpt,01083,2021-01-10,4,2020-12-13,,228.71173469387747,615.725,1419.2749999999999,971.0
PatchSim_adpt,01085,2020-12-20,1,2020-12-13,,0.0,23.0,28.0,28.0
PatchSim_adpt,01085,2020-12-27,2,2020-12-13,,3.061224489795918,19.0,28.0,22.0
PatchSim_adpt,01085,2021-01-03,3,2020-12-13,,3.5714285714285716,14.0,28.0,21.0
PatchSim_adpt,01085,2021-01-10,4,2020-12-13,,3.5714285714285716,14.0,28.0,21.0
PatchSim_adpt,01087,2020-12-20,1,2020-12-13,,4.846938775510204,56.0,75.0,65.5
PatchSim_adpt,01087,2020-12-27,2,2020-12-13,,10.204081632653061,56.0,90.0,70.0
PatchSim_adpt,01087,2021-01-03,3,2020-12-13,,14.795918367346939,56.0,105.0,76.0
PatchSim_adpt,01087,2021-01-10,4,2020-12-13,,22.079081632652994,49.0,120.27499999999986,77.0
PatchSim_adpt,01089,2020-12-20,1,2020-12-13,,180.89285714285677,2149.9,2846.5499999999993,2492.0
PatchSim_adpt,01089,2020-12-27,2,2020-12-13,,371.0586734693876,2086.0,3508.2749999999996,2781.0
PatchSim_adpt,01089,2021-01-03,3,2020-12-13,,574.5153061224486,2042.725,4177.549999999999,3051.5
PatchSim_adpt,01089,2021-01-10,4,2020-12-13,,802.4362244897958,1974.0,4851.275,3278.5
PatchSim_adpt,01091,2020-12-20,1,2020-12-13,,28.71173469387748,312.0,416.27499999999986,360.0
PatchSim_adpt,01091,2020-12-27,2,2020-12-13,,74.63010204081625,389.0,655.2749999999999,509.0
PatchSim_adpt,01091,2021-01-03,3,2020-12-13,,120.03826530612238,451.725,867.2749999999999,632.0
PatchSim_adpt,01091,2021-01-10,4,2020-12-13,,137.89540816326524,470.45000000000005,942.2749999999999,672.0
PatchSim_adpt,01093,2020-12-20,1,2020-12-13,,13.26530612244898,150.0,203.0,177.0
PatchSim_adpt,01093,2020-12-27,2,2020-12-13,,28.06122448979592,147.0,252.0,197.0
PatchSim_adpt,01093,2021-01-03,3,2020-12-13,,42.85714285714286,141.725,301.0,217.0
PatchSim_adpt,01093,2021-01-10,4,2020-12-13,,59.69387755102041,137.0,350.0,233.0
PatchSim_adpt,01095,2020-12-20,1,2020-12-13,,51.02040816326531,441.0,640.0,540.0
PatchSim_adpt,01095,2020-12-27,2,2020-12-13,,83.6734693877551,347.0,661.0,497.0
PatchSim_adpt,01095,2021-01-03,3,2020-12-13,,103.20153061224482,272.725,655.2749999999999,453.0
PatchSim_adpt,01095,2021-01-10,4,2020-12-13,,120.40816326530613,214.45,644.0,408.0
PatchSim_adpt,01097,2020-12-20,1,2020-12-13,,110.99489795918353,1185.175,1604.5499999999997,1387.0
PatchSim_adpt,01097,2020-12-27,2,2020-12-13,,221.82397959183666,1194.3500000000001,2030.2749999999999,1595.5
PatchSim_adpt,01097,2021-01-03,3,2020-12-13,,348.80102040816263,1192.9,2469.6499999999987,1786.0
PatchSim_adpt,01097,2021-01-10,4,2020-12-13,,507.67857142857105,1183.1750000000002,2974.5499999999993,1979.5
PatchSim_adpt,01099,2020-12-20,1,2020-12-13,,6.122448979591836,84.0,110.0,98.0
PatchSim_adpt,01099,2020-12-27,2,2020-12-13,,13.775510204081632,84.0,135.0,108.0
PatchSim_adpt,01099,2021-01-03,3,2020-12-13,,21.42857142857143,84.0,162.0,120.0
PatchSim_adpt,01099,2021-01-10,4,2020-12-13,,31.122448979591837,84.0,192.0,131.0
PatchSim_adpt,01101,2020-12-20,1,2020-12-13,,84.06887755102034,1037.0,1358.2749999999999,1193.5
PatchSim_adpt,01101,2020-12-27,2,2020-12-13,,202.06632653061212,1099.725,1830.5499999999997,1434.5
PatchSim_adpt,01101,2021-01-03,3,2020-12-13,,345.1147959183667,1188.45,2376.924999999999,1700.5
PatchSim_adpt,01101,2021-01-10,4,2020-12-13,,514.8214285714284,1264.0,2983.5499999999997,1974.5
PatchSim_adpt,01103,2020-12-20,1,2020-12-13,,64.28571428571429,726.725,973.0,847.0
PatchSim_adpt,01103,2020-12-27,2,2020-12-13,,112.75510204081633,625.725,1056.0,835.0
PatchSim_adpt,01103,2021-01-03,3,2020-12-13,,151.8112244897958,544.725,1104.5499999999997,807.0
PatchSim_adpt,01103,2021-01-10,4,2020-12-13,,185.7397959183672,469.9,1136.5499999999997,772.5
PatchSim_adpt,01105,2020-12-20,1,2020-12-13,,6.122448979591836,48.0,67.0,55.0
PatchSim_adpt,01105,2020-12-27,2,2020-12-13,,13.915816326530543,50.725,95.27499999999986,68.0
PatchSim_adpt,01105,2021-01-03,3,2020-12-13,,23.609693877550953,56.0,128.27499999999986,82.0
PatchSim_adpt,01105,2021-01-10,4,2020-12-13,,33.673469387755105,61.0,162.0,96.0
PatchSim_adpt,01107,2020-12-20,1,2020-12-13,,19.387755102040817,128.0,190.0,152.0
PatchSim_adpt,01107,2020-12-27,2,2020-12-13,,37.130102040816254,119.0,232.27499999999986,159.5
PatchSim_adpt,01107,2021-01-03,3,2020-12-13,,50.42091836734673,119.0,269.8249999999996,171.0
PatchSim_adpt,01107,2021-01-10,4,2020-12-13,,62.755102040816325,115.0,301.0,178.0
PatchSim_adpt,01109,2020-12-20,1,2020-12-13,,5.1020408163265305,71.0,93.0,83.0
PatchSim_adpt,01109,2020-12-27,2,2020-12-13,,11.224489795918368,68.0,108.0,86.0
PatchSim_adpt,01109,2021-01-03,3,2020-12-13,,16.836734693877553,63.0,124.0,91.0
PatchSim_adpt,01109,2021-01-10,4,2020-12-13,,22.448979591836736,60.0,140.0,96.0
PatchSim_adpt,01111,2020-12-20,1,2020-12-13,,2.5510204081632653,26.0,35.0,30.0
PatchSim_adpt,01111,2020-12-27,2,2020-12-13,,3.5714285714285716,20.0,34.0,27.0
PatchSim_adpt,01111,2021-01-03,3,2020-12-13,,3.5714285714285716,14.0,28.0,21.0
PatchSim_adpt,01111,2021-01-10,4,2020-12-13,,3.5714285714285716,12.0,28.0,21.0
PatchSim_adpt,01113,2020-12-20,1,2020-12-13,,10.204081632653061,91.0,125.0,105.0
PatchSim_adpt,01113,2020-12-27,2,2020-12-13,,16.3265306122449,77.0,137.0,105.0
PatchSim_adpt,01113,2021-01-03,3,2020-12-13,,21.42857142857143,66.0,147.0,105.0
PatchSim_adpt,01113,2021-01-10,4,2020-12-13,,29.081632653061224,58.0,158.0,101.0
PatchSim_adpt,01115,2020-12-20,1,2020-12-13,,40.446428571428505,461.0,615.2749999999999,536.0
PatchSim_adpt,01115,2020-12-27,2,2020-12-13,,77.18112244897952,404.0,695.2749999999999,544.0
PatchSim_adpt,01115,2021-01-03,3,2020-12-13,,110.96938775510205,359.45000000000005,764.0,546.5
PatchSim_adpt,01115,2021-01-10,4,2020-12-13,,143.90306122448965,317.725,827.5499999999997,545.5
PatchSim_adpt,01117,2020-12-20,1,2020-12-13,,90.56122448979592,1039.725,1389.0,1211.5
PatchSim_adpt,01117,2020-12-27,2,2020-12-13,,172.079081632653,944.725,1599.2749999999999,1262.0
PatchSim_adpt,01117,2021-01-03,3,2020-12-13,,245.9183673469388,863.8000000000001,1775.0,1293.0
PatchSim_adpt,01117,2021-01-10,4,2020-12-13,,322.6147959183671,780.625,1938.8249999999996,1306.5
PatchSim_adpt,01119,2020-12-20,1,2020-12-13,,9.438775510204081,87.0,119.0,100.5
PatchSim_adpt,01119,2020-12-27,2,2020-12-13,,21.683673469387756,98.0,172.0,129.5
PatchSim_adpt,01119,2021-01-03,3,2020-12-13,,37.89540816326524,113.0,237.27499999999986,163.0
PatchSim_adpt,01119,2021-01-10,4,2020-12-13,,53.456632653061156,127.0,301.27499999999986,196.5
PatchSim_adpt,01121,2020-12-20,1,2020-12-13,,34.32397959183667,345.0,476.27499999999986,409.0
PatchSim_adpt,01121,2020-12-27,2,2020-12-13,,64.17091836734687,317.0,560.2749999999999,434.5
PatchSim_adpt,01121,2021-01-03,3,2020-12-13,,91.46683673469381,292.0,632.2749999999999,453.0
PatchSim_adpt,01121,2021-01-10,4,2020-12-13,,122.49999999999973,268.0,706.0999999999995,466.0
PatchSim_adpt,01123,2020-12-20,1,2020-12-13,,7.653061224489796,84.0,112.0,97.0
PatchSim_adpt,01123,2020-12-27,2,2020-12-13,,12.755102040816327,65.0,112.0,87.0
PatchSim_adpt,01123,2021-01-03,3,2020-12-13,,15.816326530612246,52.0,110.0,79.0
PatchSim_adpt,01123,2021-01-10,4,2020-12-13,,17.346938775510203,40.0,105.0,71.0
PatchSim_adpt,01125,2020-12-20,1,2020-12-13,,114.03061224489797,1359.9,1811.0,1587.5
PatchSim_adpt,01125,2020-12-27,2,2020-12-13,,242.3724489795917,1385.45,2315.5499999999997,1840.5
PatchSim_adpt,01125,2021-01-03,3,2020-12-13,,380.2423469387753,1392.725,2793.2749999999996,2048.0
PatchSim_adpt,01125,2021-01-10,4,2020-12-13,,530.2423469387753,1376.4499999999998,3260.2749999999996,2221.0
PatchSim_adpt,01127,2020-12-20,1,2020-12-13,,39.79591836734694,295.725,456.0,378.0
PatchSim_adpt,01127,2020-12-27,2,2020-12-13,,75.0,312.45,601.0,454.0
PatchSim_adpt,01127,2021-01-03,3,2020-12-13,,112.38520408163258,315.0,725.2749999999999,505.0
PatchSim_adpt,01127,2021-01-10,4,2020-12-13,,151.27551020408163,311.725,854.0,557.5
PatchSim_adpt,01129,2020-12-20,1,2020-12-13,,9.183673469387756,80.0,112.0,94.0
PatchSim_adpt,01129,2020-12-27,2,2020-12-13,,24.51530612244884,94.0,174.54999999999973,126.5
PatchSim_adpt,01129,2021-01-03,3,2020-12-13,,46.93877551020408,109.0,255.0,163.0
PatchSim_adpt,01129,2021-01-10,4,2020-12-13,,75.51020408163265,123.0,350.0,202.0
PatchSim_adpt,01131,2020-12-20,1,2020-12-13,,19.387755102040817,178.0,248.0,210.0
PatchSim_adpt,01131,2020-12-27,2,2020-12-13,,51.81122448979578,203.0,378.5499999999997,277.0
PatchSim_adpt,01131,2021-01-03,3,2020-12-13,,76.0204081632653,234.725,484.0,335.0
PatchSim_adpt,01131,2021-01-10,4,2020-12-13,,76.67091836734687,245.0,505.27499999999986,355.0
PatchSim_adpt,01133,2020-12-20,1,2020-12-13,,11.73469387755102,69.0,115.0,92.0
PatchSim_adpt,01133,2020-12-27,2,2020-12-13,,18.367346938775512,60.725,132.0,96.0
