fips,fct_date,horizon,avl_date,method,value,fct_std
2100,2020-08-16,1,2020-08-02,spatial_mob,1.0034554641919444,0.12294050472726165
2100,2020-08-23,2,2020-08-02,spatial_mob,1.0100946957511157,0.12744158822007592
2100,2020-08-30,3,2020-08-02,spatial_mob,1.0036521073201257,0.11802321205505105
2105,2020-08-09,0,2020-08-02,spatial_mob,1.1063483390819164,0.5208581597086853
2105,2020-08-16,1,2020-08-02,spatial_mob,1.102903036325212,0.4978570921401124
2105,2020-08-23,2,2020-08-02,spatial_mob,1.0867864083744596,0.5005170844715873
2105,2020-08-30,3,2020-08-02,spatial_mob,1.0011025752887213,0.10322813171138766
2110,2020-08-09,0,2020-08-02,spatial_mob,19.405510869430266,19.844724798538454
2110,2020-08-16,1,2020-08-02,spatial_mob,28.401366149085522,47.01511955878361
2110,2020-08-23,2,2020-08-02,spatial_mob,19.44808835805645,7.20128951453901
2110,2020-08-30,3,2020-08-02,spatial_mob,19.611049816719266,10.490644012767982
2122,2020-08-09,0,2020-08-02,spatial_mob,26.365059738430467,37.076487733646815
2122,2020-08-16,1,2020-08-02,spatial_mob,45.6875777908245,49.339371537240325
2122,2020-08-23,2,2020-08-02,spatial_mob,25.64009602951089,35.59682133178743
2122,2020-08-30,3,2020-08-02,spatial_mob,16.280125613317043,7.158050766846213
2130,2020-08-09,0,2020-08-02,spatial_mob,1.0048901108479409,0.0997275494447058
2130,2020-08-16,1,2020-08-02,spatial_mob,1.0017650554907311,0.10127653308449436
2130,2020-08-23,2,2020-08-02,spatial_mob,1.0516195060712672,0.3687546629546987
2130,2020-08-30,3,2020-08-02,spatial_mob,1.094059211447057,0.4131011724528529
2150,2020-08-09,0,2020-08-02,spatial_mob,1.0715125164365715,0.4105331974113221
2150,2020-08-16,1,2020-08-02,spatial_mob,1.1013243154649557,0.5008144584817993
2150,2020-08-23,2,2020-08-02,spatial_mob,1.0792389772158026,0.4118368403646809
2150,2020-08-30,3,2020-08-02,spatial_mob,1.0036261119570984,0.09666991398443707
2158,2020-08-09,0,2020-08-02,spatial_mob,1.0190809269127246,0.19440776003755228
