fips,fct_date,horizon,avl_date,value,fct_std
27169,2020-08-09,2.0,2020-07-19,17.95521831512451,2.4460870358573086
27169,2020-08-16,3.0,2020-07-19,17.59120162963867,2.245361919774022
27171,2020-07-26,0.0,2020-07-19,64.36177421569825,6.485268270674518
27171,2020-08-02,1.0,2020-07-19,54.23787109375,6.783465481672273
27171,2020-08-09,2.0,2020-07-19,43.65900173187256,6.33073164070625
27171,2020-08-16,3.0,2020-07-19,40.51792213439941,5.688593463354664
27173,2020-07-26,0.0,2020-07-19,6.5837627792358395,0.752417439743272
27173,2020-08-02,1.0,2020-07-19,7.345885467529297,1.0443351078483627
27173,2020-08-09,2.0,2020-07-19,7.636009740829468,1.1276085824125557
27173,2020-08-16,3.0,2020-07-19,7.250656337738037,0.964790471369784
28001,2020-07-26,0.0,2020-07-19,66.75620018005371,8.298222472844797
28001,2020-08-02,1.0,2020-07-19,56.29272361755371,7.641915757251919
28001,2020-08-09,2.0,2020-07-19,57.50776885986328,6.826557607772173
28001,2020-08-16,3.0,2020-07-19,55.85431427001953,7.591355717851683
28003,2020-07-26,0.0,2020-07-19,97.66048690795898,13.272366784570528
28003,2020-08-02,1.0,2020-07-19,76.8334268951416,12.202046745728246
28003,2020-08-09,2.0,2020-07-19,79.4742586517334,9.902956975141722
28003,2020-08-16,3.0,2020-07-19,78.86700592041015,11.888623421931003
28005,2020-07-26,0.0,2020-07-19,29.264924354553223,4.823433412135533
28005,2020-08-02,1.0,2020-07-19,24.313962173461913,3.5930431903496505
28005,2020-08-09,2.0,2020-07-19,24.173681297302245,3.451347857496395
28005,2020-08-16,3.0,2020-07-19,24.280531425476074,3.409711623334574
28007,2020-07-26,0.0,2020-07-19,47.70320350646973,5.160538029528458
28007,2020-08-02,1.0,2020-07-19,45.072986145019534,5.745027695123884
28007,2020-08-09,2.0,2020-07-19,45.129963417053226,6.492723868006155
28007,2020-08-16,3.0,2020-07-19,46.47698009490967,7.345958322609913
28009,2020-07-26,0.0,2020-07-19,15.363883190155029,1.3875927143753357
28009,2020-08-02,1.0,2020-07-19,16.921179275512696,1.980164955909127
28009,2020-08-09,2.0,2020-07-19,17.420163288116456,2.0901846764159098
28009,2020-08-16,3.0,2020-07-19,17.8236704826355,2.3168535687724514
28011,2020-07-26,0.0,2020-07-19,149.6595639038086,16.274757174253622
28011,2020-08-02,1.0,2020-07-19,130.49739196777344,16.6206899072936
28011,2020-08-09,2.0,2020-07-19,129.67641952514649,16.45020038645682
28011,2020-08-16,3.0,2020-07-19,125.84206634521485,18.81336283087898
28013,2020-07-26,0.0,2020-07-19,85.09775382995605,10.066672379582327
28013,2020-08-02,1.0,2020-07-19,72.56749160766601,10.647421781727093
28013,2020-08-09,2.0,2020-07-19,70.44933502197266,10.456707539824519
28013,2020-08-16,3.0,2020-07-19,69.22747482299805,10.22520168421306
28015,2020-07-26,0.0,2020-07-19,22.066043090820312,2.1792114873517647
28015,2020-08-02,1.0,2020-07-19,24.829459495544434,2.86132836756765
28015,2020-08-09,2.0,2020-07-19,25.96401767730713,3.0166909583358557
28015,2020-08-16,3.0,2020-07-19,26.801730232238768,2.7378227325899713
28017,2020-07-26,0.0,2020-07-19,44.58115242004394,7.430054488404759
28017,2020-08-02,1.0,2020-07-19,36.87554985046387,4.446744034960038
28017,2020-08-09,2.0,2020-07-19,36.969268798828125,4.567491962521027
28017,2020-08-16,3.0,2020-07-19,38.0335498046875,4.592145440245264
28019,2020-07-26,0.0,2020-07-19,11.364533224105834,1.58218762183303
28019,2020-08-02,1.0,2020-07-19,10.626972808837891,1.5224903824763543
28019,2020-08-09,2.0,2020-07-19,10.512475433349609,1.2651939839650663
28019,2020-08-16,3.0,2020-07-19,10.011921005249024,1.24602429080932
28021,2020-07-26,0.0,2020-07-19,41.1604243850708,5.372369094940293
28021,2020-08-02,1.0,2020-07-19,41.357095375061036,5.685372140783153
28021,2020-08-09,2.0,2020-07-19,41.014842414855956,5.216454303719917
28021,2020-08-16,3.0,2020-07-19,42.07181663513184,6.1316301916288305
28023,2020-07-26,0.0,2020-07-19,19.15656030654907,2.836855713465075
28023,2020-08-02,1.0,2020-07-19,17.955214824676514,2.306148593440944
28023,2020-08-09,2.0,2020-07-19,16.898536949157716,2.458577504741802
28023,2020-08-16,3.0,2020-07-19,16.088374042510985,2.2383333661996145
28025,2020-07-26,0.0,2020-07-19,34.81777465820313,4.586850170007279
28025,2020-08-02,1.0,2020-07-19,30.777066497802736,4.314411218208731
28025,2020-08-09,2.0,2020-07-19,31.94543483734131,4.1776025591982435
28025,2020-08-16,3.0,2020-07-19,30.918828811645508,4.528294066882837
28027,2020-07-26,0.0,2020-07-19,164.54906372070312,24.892651223995447
28027,2020-08-02,1.0,2020-07-19,140.34241348266602,17.159258496564277
28027,2020-08-09,2.0,2020-07-19,146.09296600341796,16.673551762122973
28027,2020-08-16,3.0,2020-07-19,143.1664874267578,17.857981581496997
28029,2020-07-26,0.0,2020-07-19,74.4996206665039,8.99836979714689
28029,2020-08-02,1.0,2020-07-19,71.49776313781739,9.406431520894385
28029,2020-08-09,2.0,2020-07-19,72.13386520385743,8.956329805667838
28029,2020-08-16,3.0,2020-07-19,69.86815643310547,9.928155324035744
28031,2020-07-26,0.0,2020-07-19,60.096711044311526,9.08910299660428
28031,2020-08-02,1.0,2020-07-19,56.09584465026855,6.760245864070445
28031,2020-08-09,2.0,2020-07-19,57.654842910766604,7.092699948978005
28031,2020-08-16,3.0,2020-07-19,58.458972396850584,7.131623535395914
28033,2020-07-26,0.0,2020-07-19,309.0961022949219,40.94443199883895
28033,2020-08-02,1.0,2020-07-19,280.3740133666992,36.760198811162056
28033,2020-08-09,2.0,2020-07-19,274.52556549072267,37.57902538911264
